                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0277,                0.55457,                0.86771,                0.99834,                      1,                  0.995,                0.66667,                 1.2292,                0.54073,                0.96797,               0.007096,               0.007096,               0.007096
                     90,                 1.0687,                0.56253,                0.87739,                0.99872,                      1,                  0.995,                0.68249,                 1.1841,                0.51053,                0.95329,               0.007063,               0.007063,               0.007063
                     91,                0.98067,                0.52825,                 0.8787,                0.99866,                      1,                  0.995,                0.68366,                 1.1805,                0.53883,                0.95651,                0.00703,                0.00703,                0.00703
                     92,                 1.0119,                0.55062,                 0.8748,                0.99866,                      1,                  0.995,                0.69241,                 1.1776,                0.51748,                0.94649,               0.006997,               0.006997,               0.006997
                     93,                 1.0218,                0.55334,                0.87425,                0.99897,                      1,                  0.995,                0.68828,                 1.1647,                0.53245,                0.95382,               0.006964,               0.006964,               0.006964
                     94,                 1.0172,                0.55582,                0.87226,                0.99863,                      1,                  0.995,                0.68291,                 1.1967,                0.53329,                0.94895,               0.006931,               0.006931,               0.006931
                     95,                 1.0208,                0.57885,                0.88187,                0.99893,                      1,                  0.995,                 0.6933,                 1.1314,                0.49624,                0.94148,               0.006898,               0.006898,               0.006898
                     96,                 1.0539,                0.55115,                0.86797,                0.99871,                      1,                  0.995,                0.67195,                 1.1895,                0.50588,                0.94607,               0.006865,               0.006865,               0.006865
                     97,                 1.0355,                0.55377,                0.88904,                0.99868,                      1,                  0.995,                0.67594,                 1.1603,                0.48711,                0.95232,               0.006832,               0.006832,               0.006832
                     98,                 1.0346,                0.53439,                0.87162,                0.99836,                      1,                  0.995,                0.67486,                 1.1848,                0.53806,                0.94103,               0.006799,               0.006799,               0.006799
                     99,                  1.037,                0.56611,                0.88467,                0.99859,                      1,                  0.995,                0.68703,                 1.1902,                0.51296,                 0.9561,               0.006766,               0.006766,               0.006766
                    100,                 1.0235,                 0.5294,                0.89464,                0.99854,                      1,                  0.995,                0.69181,                 1.1902,                0.53078,                0.94517,               0.006733,               0.006733,               0.006733
                    101,                 1.0066,                0.53909,                0.88857,                0.99875,                      1,                  0.995,                 0.7164,                 1.1147,                0.49012,                0.92963,                 0.0067,                 0.0067,                 0.0067
